NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -∞
4.7122606728561891 -10.809959687924819 -12.161792243108383 -25.130689656547286 -11.283488232229548 5.45821172888886 -2.3265016528643745 -10.663093669049159 -4.5547864109117757 -3.7445167341440295 5.49344975049741 -5.4019760174476739 86.315097852047913
4.1079279050557442 -12.236810627583736 -11.466480264783172 -22.639477210859063 -7.3417873121426425 5.8330617160467213 -3.073959105025835 -11.110152849104965 0.3307539635223124 1.5087982851906263 7.66908969766987 -3.7583516007069266 87.234823701549757
3.5527980813324795 -11.350945266834346 -10.656271631526916 -18.427167734922687 -6.1178068661546874 3.7311476227273435 -7.82658369175537 -11.962265375641136 1.3308214949317474 -2.2210742085142514 4.9833464769166049 -6.4307677402448551 86.821080693714762
2.7946388113427609 -13.589411495267322 -11.754683473093666 -23.284386787363413 -4.8059482433692855 2.6451275713264395 -8.1796281867797731 -16.379638544245715 -1.7575196809585427 0.48276992290400456 4.0932125630797529 -7.4785419764682084 85.24887490651416
2.1551612923076378 -13.244561322554574 -12.610262253367345 -22.441455873634091 -0.721450922217778 1.4274064281321845 -8.1790819274108166 -15.98510696817913 -0.69622955623596916 0.62465859120001788 -0.50590642819079523 -3.9948349014558366 86.603708006726279
1.3883849941649622 -15.084043526784672 -15.206293478257248 -19.76044825916712 -1.8124224971494447 3.1803734795269754 -11.745845644329952 -13.107762381709104 -2.2365340652434851 4.8926279271470623 1.614723593573312 -6.8075812527239679 86.116874848113966
1.3709821913578284 -16.147713336943141 -11.803634854766532 -15.947535168021062 1.0979084320579451 -2.735198531653189 -9.2354645902585588 -9.939135879466571 3.6947229186034933 2.2524969351437103 1.4777320875053812 -7.2115679905170813 85.353079542993925
1.0923445434943482 -16.254565818640135 -13.410236189433638 -15.619265829875658 -3.5841523949403418 -6.841801388386366 -12.235204587698963 -8.493422605672448 0.622245652603653 -0.19313274719977619 -4.2059653203215417 -9.6901347510489053 85.4452332428532
1.2056079336944383 -15.835091964268766 -10.237363009281511 -14.216226549368743 -2.7560790427283179 -10.9071028828837 -10.537860591723005 -7.4563553727357545 5.4408466571448653 0.327527785411502 -8.3497822376217155 -8.7118413871664959 85.838146779208643
1.2695188179715209 -16.01087543147931 -7.34994447185416 -12.149315216233161 -7.207408184310645 -14.035094234334272 -11.6831860673735 -4.3192336587770139 8.4353269479166553 -1.2116225063764567 -11.192704173902383 -6.995269189580962 84.764929342601022
2.394269143351484 -12.997893210968526 -3.9852323814338728 -12.400231187023174 -8.679214609544788 -13.474939531190689 -14.013449076315259 -9.18595755186932 6.9992152966152 -4.02655462972482 -3.8025161153676361 -13.287176608797168 83.532709955088237
4.5121296365583667 -6.0201984700635212 -1.7472257249039043 -6.7566309079434 -4.9831886876061491 -15.461881321873628 -14.109912685238312 -16.366962500016669 -7.9237535978966873 -5.0901398216760416 -2.16515288665991 -9.95379960598912 77.670771396412647
4.2587687297824477 -4.0334393485517372 0.12396804230369798 -7.1734576414520044 -9.6426069293451881 -18.476541108828812 -7.7541450433741339 -25.161536431868551 -8.0463056074426671 5.1536015307745435 2.2988910127791735 -10.238587169567465 76.044592891684118
4.6152569619270469 -3.3838397245951071 0.062047948727693647 -3.2670974945939961 -7.7183784743958253 -20.170484108437972 -10.367416206397735 -20.231073747743753 -7.9838134224875947 6.0057492447521339 5.6573120525512337 -7.3428441862851281 75.39418444087282
5.0325651564886886 -4.2433378428453095 2.9481775190780994 -3.8980987412680776 -9.8167866429771724 -24.808338589114282 -8.0966066616831878 -23.474636995131949 -5.7788299369276812 10.074583113565824 -0.46562588310013686 -6.350537518648224 74.341036554779748
5.4562756531570367 -3.8172185564453223 2.3564796949841975 -4.1355126860129978 -11.030273859853398 -23.604010786286612 -8.4091235503509161 -21.024399891214564 -7.5590261416482072 10.270037524962252 1.816596828227276 -8.5447241561327516 74.763332669313854
4.6312442726653318 -6.5286260784838843 2.0807881264008055 -4.0703904487928524 -8.062114311899359 -19.90086362049394 -15.552889663559759 -15.773076988159213 -12.354779571182243 1.4207393039280827 8.09705570249036 -7.4486343122652672 76.139758773010129
3.9165026743523974 -11.651660121670755 -3.5617623104101135 -11.464775794786465 -7.7487204547418163 -19.352412067106691 -24.300150771237597 -7.2136730861381286 -3.95646855162397 -2.3710913790823467 1.3490201161896487 -4.3710512670915325 81.252118450869929
5.7876483381007171 -13.257061065198622 -6.5661783653544123 -11.032822446142335 -15.014448502391934 -16.254479167275935 -12.04868326227079 -7.2392837678579909 2.7542070708712809 -5.9794582955198 -3.7407072363211817 -6.3337621094217074 82.4499427391869
3.7317472518836063 -14.966154711039119 -9.4631371364158881 -10.257910427633259 -11.539726309750913 -17.309864873820537 -5.7859306605890826 2.1685757915785575 7.0462206393728115 -6.4308034493405808 -11.269215964448533 -12.215580619895778 82.290091550591086
0.85751821575192111 -13.60995581204935 -5.06501937378589 -13.016528295298334 -9.7569325130051272 -16.697623507068023 -7.8844178969598806 4.0576474975893229 9.8114585601289246 -3.659562258898525 -15.406501013327551 -13.999436400462562 79.940010199110148
-0.46761374466690736 -11.871263297785768 -9.0673558539784445 -18.949687479775392 -12.475044841082683 -12.983466758486529 -9.0272201046867337 1.413889417366188 8.0291818646485336 2.31480780446766 -6.4893042737672335 -5.29439122319979 77.823398737213068
0.16707537904493572 -18.4986437646208 -12.809815130824457 -13.546708307348997 -13.182812491149607 -15.358836440983044 -3.7982278736572459 1.7067019855775161 10.781308314805939 4.1692089320496546 -6.8716076011599441 -10.562098901764129 77.964275469396171
1.6381671452487567 -6.2222954493803284 -5.05262354730842 -5.870364476669768 4.7618717367735082 -17.53011038072691 -1.2475335155709597 2.14379314677155 1.1309567767361604 -2.9336282655726733 -4.8634814985029449 -9.3211413545502158 83.74901532933572
-3.6754071196957843 0.090386503066524515 5.2395989995665246 -1.5522650827455748 1.7213035622786046 -27.531407754377128 -6.406740728893273 -4.8319570860938468 -6.1532716692654548 -8.486116543448011 1.3940088800246935 -4.68953043740656 82.928083980798817
